FP32 FX b16,FP32 FX b32,FP32 FX b64,FP32 FX b128,FP32 FX b256,FP32 FX b512,FP32 FX b1024,FP32 FX b2048,FP32 FX b4096
24038,76535,81374,97194,129814,175147,182797,339190,781122
23170,77321,81745,102944,128678,165195,181368,339522,766982
22813,78382,81486,97677,137837,161134,185135,342523,772100
22412,77937,83992,94920,146422,166439,178983,341368,864711
22700,77515,82720,97784,137808,164146,189395,342323,858604
23323,76859,81856,102404,139977,169492,188872,530576,861598
21747,77173,81698,98405,127658,165134,183655,378367,859452
23027,78156,81910,97886,127122,164588,182237,355913,843331
21973,76591,82059,99293,129670,164871,191887,354424,843704
22425,76399,90779,96491,126557,165514,185289,344735,865386
21666,77973,83914,97029,131434,175872,186775,351372,861342
22199,77338,82309,110076,387203,163861,184332,351010,813355
22370,77265,81835,98793,1093519,175750,182482,337959,850534
22638,78659,82027,100358,907185,172972,181517,341225,853862
22079,77676,82054,97206,856548,166565,183316,340778,843962
22155,77582,81857,101297,852315,165565,182447,339260,850245
21635,77612,83522,97141,862736,165913,185056,348589,858185
21691,76690,82794,97851,704681,168289,182973,353063,834628
22101,76897,83415,101284,515493,166437,184653,361222,808095
22333,77280,81464,99690,392851,166274,189344,352720,861566
23041,77181,81856,97682,314844,173688,419096,336346,865560
22586,77058,81726,98101,243781,165725,218270,343634,859449
22975,77302,84215,101837,214212,174952,207726,356508,840778
23670,78670,83662,98833,176425,165727,207521,504256,838384
23016,77468,83994,96888,156130,164246,195863,371842,816476
24609,76957,82156,100234,145751,165323,188514,356438,817412
23133,76910,82769,99107,138281,163843,187815,345626,870218
23338,75985,83040,97221,127006,176925,185065,363601,847492
23319,76827,83371,103411,136926,163327,180523,349105,937828
22640,76937,82669,98995,138187,175992,182418,343057,855643
22942,77312,81741,99225,132668,165296,179782,351849,828646
23357,76695,81876,98598,138397,164947,185300,362286,864415
24144,77788,82847,99357,130088,163712,183815,364049,808562
22821,79234,85120,97756,130028,169815,181594,361590,860709
22116,77018,84038,100415,127323,164727,179412,350822,841213
23023,76707,82757,101899,125550,164398,188760,346423,858245
23130,77354,82583,97602,127549,174368,186209,366768,840884
22401,76292,82362,96724,133462,162036,188552,351121,862231
22715,77470,81361,96089,140534,173900,186895,533722,833190
22289,113531,82158,98773,133207,163780,185088,362320,760951
22893,77244,85402,100049,124514,164584,192623,344072,921503
23010,76990,83327,100151,137612,176212,187981,359097,872251
21545,76310,82971,101797,135345,164594,182902,357071,858347
22796,82128,82094,98564,129730,176065,184558,361297,868405
23406,78396,81973,96381,135609,177787,186748,362818,866082
39837,76969,81962,102503,133365,164283,183963,348637,847531
25131,76055,92269,96600,128440,173693,196034,335521,845174
22617,77029,82335,97989,132996,169513,189261,342525,850986
23022,76159,83035,97873,133244,164414,187794,352871,825845
23275,76647,81919,101181,127769,173530,183969,357178,775002
22533,77855,82846,98333,125582,165080,191086,352767,771238
22069,77744,82329,98651,164947,175499,186404,357835,852697
22534,77448,81972,106744,127107,174670,185703,357052,820433
22563,76779,83658,100025,126027,165607,184580,500263,730903
