FP32 eager b16,FP32 eager b32,FP32 eager b64,FP32 eager b128,FP32 eager b256,FP32 eager b512,FP32 eager b1024,FP32 eager b2048,FP32 eager b4096
264079,230346,460154,589627,606851,778144,1363341,1967681,4621328
212543,232726,466772,592501,607667,784691,1421155,1961291,4362497
231445,229296,488362,587580,603975,765920,1300881,1981001,6062239
235803,228082,456703,589729,616348,773448,1277317,2440208,4778388
238886,228212,476746,580904,615818,758852,1267159,3334951,6397456
247954,233152,478124,575488,600230,769122,1385460,2435602,4820877
199874,229646,456435,594509,625403,778711,1242256,3876870,6391884
286433,231137,460079,597317,619388,756296,1290594,2202160,5200181
376060,231061,442944,582295,599228,755842,1330852,2130187,6686628
318125,228202,477290,604366,623618,789931,1346557,3097467,5144444
324617,225906,467710,578135,607124,785653,1309660,2156349,6516660
355323,223928,453581,567246,595988,785229,1374329,2074230,4739685
348976,227888,465927,593199,603185,801935,1290676,2073419,5132853
327832,226342,456142,589687,607156,783634,1294444,2034431,4016128
333377,225910,467624,583611,597484,779336,1359232,2040350,4040383
331549,231435,454306,605555,643848,787788,1373308,3561800,5472282
332270,225627,447045,574969,603677,768656,1356884,2059387,4332742
339081,230231,477075,564716,607308,780198,1365407,2472984,3805206
314499,231099,461794,602258,628801,794661,1270109,2389341,4376746
330298,228292,443125,582699,618094,781872,1388737,2317264,6298856
352125,228989,469796,588704,613311,774569,1312470,2185069,4024979
320001,227673,477283,595021,616483,794138,1391819,2153179,5926192
330607,230722,489656,581184,619794,774995,1337736,2123643,6034287
376438,226729,463338,560153,612986,784922,1277495,2136650,5874487
349397,228812,465371,604050,637008,777100,1299657,2063769,4398708
305007,231071,444993,595215,617366,779242,1361781,2059368,5984263
312837,226716,468171,598990,607973,770860,1601146,2109643,4622298
319063,229253,444381,598762,616128,776825,1465167,1987194,4623757
340036,228530,485615,584999,634612,791484,1332036,2027762,5017048
297362,238127,478712,565831,606712,770643,1362387,2023893,3773164
302866,229331,489720,604326,623733,788765,1350978,2496909,4435845
318947,242492,448379,592838,616805,761733,1335056,2381704,6133188
312182,229067,458533,563851,612778,781932,1307333,2259110,3745192
310020,236749,444984,587241,633981,785700,1240161,2248985,3712386
311448,224771,460709,578310,626798,763842,1231916,2160360,3577850
317557,237947,465067,567638,604405,773607,1278285,3956312,5769137
351507,228532,468420,597621,646553,777948,1364298,2753446,5035121
305856,238923,480768,597063,607280,763827,1359198,2400031,6629763
302842,229457,458974,581524,595846,765531,1276393,2170881,5015016
325721,242042,452902,599453,614762,767004,1267455,2091313,6302279
321586,232708,458566,579789,616610,775343,1394139,2045165,4734450
293531,242531,472182,567079,610484,763323,1329417,2036781,5057531
285938,235544,492456,594142,621647,770068,1412603,2863265,4047872
297521,237421,464853,596793,625950,772536,1377821,3129388,5840271
333440,231503,460505,584675,620159,750782,1389264,2199632,4620507
284361,242808,460693,581124,613303,789909,1339854,2198549,4344453
291024,236592,465919,580915,615865,773474,1319616,1953388,3517853
318434,240150,466041,563499,602628,760554,1288544,1896374,4334342
296856,230073,474145,586035,603957,780310,1346310,2496961,5482881
307379,228552,484645,603121,613122,763048,1302852,4368688,5418871
303159,229457,486666,573759,607828,768118,1253349,2853901,4452789
282332,245929,474944,583436,611099,768660,1391121,2551108,6688990
308851,231013,450388,581333,604291,782517,1293325,2283175,5663540
310989,233230,481096,553218,602353,796212,1279978,3863453,7151167
332858,228146,475302,599539,625844,792836,1349055,2706943,6008592
289618,265570,462932,590594,616462,772884,1317959,2379438,6250059
286028,265497,458606,583618,598083,775420,1326251,2096905,8238263
307378,257318,460123,579562,631522,795938,1368172,2015824,6515959
302444,274417,468940,576935,642843,761150,1305169,1995188,8097849
303055,260102,466903,559656,622066,772093,1342930,1975842,7817286
270986,261230,477896,600740,617383,777621,1378062,1992247,10517215
