b16,b32,b64,b128,b256,b512,b1024,b2048,b4096
13616,11152,22941,12322,14339,15480,12907,11950,36035
13798,21300,23230,12503,14807,13964,12890,11741,26778
13487,11323,23344,18086,14951,12404,12965,11647,20728
13528,11283,23703,12908,14640,13937,12576,12073,18845
13585,11452,23497,12538,14568,14378,13101,11435,16881
13693,11200,23695,12653,14533,14103,13027,11779,25824
13431,11515,23163,12922,14336,12564,12950,11806,35665
13572,11585,23420,12583,14425,14012,12654,11568,31830
13455,11227,22976,13762,14548,12587,13132,11643,21471
13812,11122,21923,12671,15065,12615,13181,11489,18996
13731,11382,22100,13959,14865,12599,13151,11530,19328
13824,11141,22241,12792,19237,12567,13010,11802,17602
13544,11505,21581,12531,17816,12368,13449,11757,37820
13489,11231,22232,13072,16526,29439,13099,27382,27148
13116,11194,22317,12643,15850,16905,12830,18908,21547
13355,11429,21453,12692,15435,13513,12724,14214,18701
13421,11479,22148,13728,15620,13178,12886,12111,18133
13680,11295,21196,14002,16892,14545,13168,11832,18818
13866,11454,20766,12685,14923,13022,12590,11838,46138
13403,12077,21097,12593,15064,14728,12865,11802,23921
12975,11767,20900,12887,14783,13187,13003,11618,19862
12912,11249,21137,12858,15037,13529,13059,11689,18976
12933,11006,20719,12350,15078,13015,13096,11679,19180
13157,10984,20679,13613,15124,13328,13132,11654,17806
13450,11233,20910,12706,14978,13098,12859,11670,36861
13275,10959,21161,12347,16325,12804,12902,11484,28475
12996,10890,20594,12658,14975,13045,31053,11639,19804
12907,11092,20070,12930,15647,13110,17270,11756,18641
13461,11093,19732,12875,16278,13996,13856,11710,17581
13444,11122,19885,12798,13573,13289,14083,11712,16931
13419,11124,19467,12714,13036,12733,13478,11607,17154
13712,11843,19885,12676,13191,13103,13588,11655,36364
13914,11802,19668,12374,12923,13144,13505,27709,25654
13460,11053,19788,12242,14587,14406,13273,16904,20878
13610,11066,19778,12417,13453,14383,13106,14543,18342
13776,11172,19752,12361,12882,13172,13093,13108,26322
13369,10949,32433,12315,12998,13101,12773,12147,32743
12937,11061,18979,12356,13326,13045,13377,14900,35716
12778,10844,19308,12566,12772,12925,12945,12003,27793
12437,11301,19097,12434,13373,12860,13233,11945,21142
12778,11250,19052,12344,13097,13044,12595,12094,19584
12705,10997,19139,12329,13406,12721,12973,11798,19062
13199,11057,19465,12481,13379,12459,13013,11855,48698
12914,10976,19014,12489,13325,13282,12869,11817,25911
13117,11048,19255,12163,14373,13847,12871,12094,27951
13117,11252,19565,12338,13429,13805,13016,11634,28591
13070,11270,19079,13608,13140,12643,13183,11688,25708
13003,11240,18040,12157,13342,14294,13020,13465,22533
13330,11699,18498,12065,12967,12640,12772,32887,37665
13498,11312,18105,12480,15072,12665,12957,21310,37954
13450,11296,18917,12279,13086,14024,12982,15619,29051
12966,11343,18282,12728,12713,12986,13039,14218,25842
13553,11073,18631,12294,13597,13016,12994,13668,21588
13180,12002,18556,12212,12733,13135,12837,14500,19350
13284,11926,19085,12233,13042,13124,12932,13671,40249
13157,11340,17715,12336,12735,14128,13088,13539,38646
12993,11191,18285,12217,13089,13974,12725,13462,30816
12939,11736,17357,12263,12838,12601,12805,13499,23783
12916,11658,17115,12211,12670,13975,12634,13588,21740
13185,11077,17405,12265,12561,13055,12900,13554,21152
13238,11291,17433,12424,14154,14182,12970,13550,36991
12913,11166,17189,12452,12984,13366,13100,13834,25807
13332,11783,17158,12216,12602,12661,12745,13463,20288
12877,11358,17418,12433,12846,13006,12631,14227,17528
13095,11198,17121,12450,12740,12737,12794,13647,15922
13077,11382,17383,12224,12923,12727,12804,13759,17259
13075,11631,17338,12561,12830,14093,12890,13490,36260
13032,11620,17099,12457,13768,12563,12707,12264,26215
12960,11424,16594,13252,13232,12476,12959,27396,21481
13522,11658,17022,12355,12890,12595,12906,19151,19129
13863,11705,17455,12682,13443,12817,12984,13815,18408
13422,12119,16281,12859,12784,12794,12491,12400,18529
13776,11629,16453,12603,13889,13626,12993,12529,36265
13310,11551,16598,12663,14222,14032,12688,12105,28011
13858,11819,16735,12931,12453,12967,13317,12080,21536
13046,11943,16880,12517,13652,12828,12846,12053,18822
13212,11483,16893,12266,12656,12749,12820,11924,18150
13211,11869,16912,12394,12707,12571,13113,12127,17550
12795,11379,16469,12424,13014,12854,12999,12234,38457
13143,11403,17058,12432,13130,12796,13244,11914,26504
13138,11367,16190,12665,12179,13851,12861,12096,31383
12710,11354,16410,12574,13045,12705,12838,12016,18559
13017,11375,16224,12550,12877,13014,13130,12060,17979
12842,11635,16222,12570,12652,12747,12999,11907,18486
13288,11315,16335,12536,12844,12866,13024,12207,34256
13520,11075,16325,12231,12678,12908,12881,28833,27565
13391,11060,16188,12639,12689,12641,12895,17470,19953
13447,10999,16307,12327,12680,12843,13312,13831,23987
13252,10816,16008,12378,13132,13110,12871,23750,17761
13570,11071,15841,12532,13186,12543,13032,12367,18595
13459,11146,16480,12468,12741,12541,13026,12188,38386
13628,11080,17759,12356,13024,13140,13158,12540,37462
13346,10985,16337,12535,12415,13103,13031,12257,31177
12841,11007,16084,12316,13051,12400,13281,12129,49837
12896,11171,13531,12400,12535,12970,13067,11631,33376
12355,10867,12942,12326,18767,12915,12739,11644,28665
12415,10855,12934,13538,12647,12720,13112,11627,34427
12427,11015,13121,12685,12806,12836,12859,11835,36693
12775,11017,13053,12525,13962,13165,13112,11757,29628
12292,10702,13300,12220,12643,13717,12864,12032,21500
12431,11024,12865,12543,12634,12565,12817,11783,21496
12024,10806,13308,13488,12952,12921,12914,11937,19051
12360,10845,13222,12433,12652,13013,12768,12024,17936
12073,11093,12950,12332,12945,12704,28559,12138,37057
12271,10859,13039,12238,12700,12672,15896,28403,25716
12383,10734,12961,19342,14017,12733,14754,17902,20166
12892,10680,13037,12305,12500,12720,13410,14381,19455
12416,10525,13202,12618,12850,14047,13300,12452,17680
12559,10615,13558,12499,13789,23328,12826,12434,17090
12751,10382,13246,12504,12859,13754,13228,12097,37703
12283,10849,12998,12799,12338,12562,13317,11972,25350
12219,11698,13087,12693,13017,12940,13205,11776,28814
12672,11740,13131,12440,12945,12370,13117,11831,31741
12632,10768,13152,12402,13105,13969,12671,11665,27455
12424,11062,14053,12614,13223,12804,12940,24213,40200
12612,10687,13403,12396,14404,12798,12725,11711,37753
12781,10932,14476,13596,12703,13942,13528,11646,31289
12273,10735,13188,12591,12954,12911,13133,11660,33392
12351,10706,13154,12132,12856,12826,20745,12001,34033
12126,10930,12974,12549,12920,12766,13336,11805,28260
12151,10699,13111,12238,12995,13604,13178,12155,34348
11581,10558,12930,12399,13025,12769,13119,12238,26845
11479,10873,13315,12500,12719,13638,12950,11901,30081
12024,10785,13431,12648,12875,13170,13138,27830,31163
11773,10650,13224,12293,13183,12667,13021,18732,26927
11480,10835,12891,12519,13109,13006,13250,13761,29946
11868,11031,13527,12293,13109,12797,13114,12766,39753
11631,10821,13090,12548,19801,12893,13232,12939,27453
11232,10776,13140,12943,12781,13030,13218,12200,20791
11783,10789,13459,12685,14181,12576,12905,12012,17345
11682,10565,13300,12398,12944,12670,12879,12057,16923
11761,10826,13293,12467,12851,12777,13221,11856,16668
12123,10435,13348,12264,16612,14102,13344,12393,36842
12077,11011,13076,13043,16388,14045,12910,11991,27751
12158,10596,13219,12706,19734,13110,13162,12008,21651
12133,10975,13015,12460,18011,13280,13311,11561,18632
12182,10900,16476,13176,16875,14047,13104,12375,17470
12315,11012,14292,13123,17276,12776,12847,11777,27356
12160,10720,12278,12997,16879,12875,12972,11855,40879
12206,10876,12365,12817,16838,12751,13455,26787,27155
12269,10999,12305,12917,16531,14143,12921,17336,33697
11949,10835,12031,12737,16583,13621,12980,13410,31853
12352,10637,12040,12812,16884,13226,13354,12804,27454
12450,10780,12403,13055,16339,14116,13087,12252,28805
12284,10882,12008,12971,16191,12760,13716,11939,40447
12218,10908,12046,12754,16043,12945,13133,12001,29606
11985,10880,12295,12977,16481,12706,13489,11925,28594
12059,11157,12110,14239,16167,13380,13030,12112,34769
12170,10992,11831,12900,16102,12461,12818,12076,25628
11979,10916,11650,13860,15770,13654,13102,11918,29564
11726,10850,11927,12588,15804,12830,13150,12358,40830
11646,10889,11741,12621,15699,12834,12974,11922,28495
11633,11253,12066,12467,16063,14086,12866,11992,31224
11691,11061,11693,12829,15187,12908,13179,11974,31531
11701,10963,11585,12627,15537,12623,13226,12000,27551
11768,11184,12195,12879,15317,12516,12921,11988,32275
11573,10955,11626,13527,15524,12582,13075,12151,39658
11439,10716,11821,12614,15508,13946,13108,11727,42882
11748,11224,12103,12941,15006,12704,12884,12138,32443
11836,11042,11852,18066,15370,14078,12891,26676,33100
11910,11041,12087,12896,14941,13900,12890,17249,28227
11910,11169,11975,12751,15079,13759,13066,13945,29979
12023,18015,11859,12727,15004,12681,12947,12225,40174
11800,10816,11655,14214,14742,13819,22217,12510,42208
12046,10897,12157,13051,15393,12516,13140,12331,30326
12300,10744,11909,12660,14832,12902,13023,11842,32506
11878,10934,11983,12709,14923,12514,13087,11826,26254
11858,11156,11965,12962,14915,12789,13341,11966,32016
11839,10755,11765,12963,15150,13557,12715,11579,43783
12035,10946,12311,12775,14820,12827,22188,11858,30242
11927,10894,12249,13363,14833,12938,13142,11834,29906
11839,10789,11875,13116,14220,12805,13084,12249,31766
11555,10932,11758,13261,14533,14096,12884,11872,26287
11920,10871,11943,12949,14817,12521,12809,12061,26847
11977,10617,12010,14045,14120,13455,13065,11853,27361
11736,10817,12480,13181,13964,13829,13015,11850,43084
11765,10921,11817,13405,14063,12680,13316,28044,23586
11949,10934,11847,13214,14151,12901,12884,18209,19541
11731,10893,11885,13351,14178,12721,13010,13200,16431
11569,10933,11986,14432,14145,12881,12928,12050,15657
11624,11048,16823,13343,13883,12318,30052,12216,15674
12257,11578,12323,13876,14296,13704,18580,12982,27327
11914,11316,12214,13200,16772,12635,13481,12591,20368
11530,10860,11642,13058,13357,12663,13132,11486,16387
