x86 FX b16,x86 FX b32,x86 FX b64,x86 FX b128,x86 FX b256,x86 FX b512,x86 FX b1024,x86 FX b2048,x86 FX b4096
55883990,56878700,56085956,58354037,55943079,58573470,58361044,62713876,86457227
56545889,56507182,57783291,55697558,55881375,58603861,59102965,68984624,71894642
56344151,56709506,59767459,55780950,56678201,59358983,60525573,71136790,67637222
56412557,57199903,56724535,55798858,56971550,60296352,59889297,63102065,90723984
58591927,57018738,56703551,58178361,56882862,60240967,59457522,75917200,75798655
84988828,56673241,56662719,57463372,56745007,59223663,59676753,71547528,92258424
75998669,56648863,56779662,57395529,56038882,57994959,58736762,63134762,72515231
90338079,56682247,55961213,57276602,56263254,58270034,58898593,75125985,90665645
88831291,57436430,56053636,57330006,61177810,58021933,59274994,70105638,72813850
89209107,56795212,56761849,57201467,61104079,57595838,58626958,63364538,65340716
90097339,56705854,56586300,57182329,61747685,57814547,59669558,68806368,80806934
66371646,57215610,56758248,58074724,61227353,57575047,61372009,72110798,70368968
56030920,56918440,56623445,57988994,58901780,57470125,59347788,66348357,80181993
56887411,57466351,57004484,57721023,57556914,57722082,57355966,104025875,69995861
56702421,56966164,57737498,57743123,57523347,59816380,56939160,75563842,65247974
57030537,56539235,56918342,57933563,57695444,58463266,59907594,61838586,73444000
56581825,56426776,56897079,57631580,57387388,58541940,61712699,70437856,80979192
56539492,56189524,56893140,58419490,57306731,58473848,76898167,68344036,70529308
58454601,56311824,56772618,56189929,57603469,58406607,63145034,60869638,83653004
56386353,56477071,57142308,57259980,57432306,58162720,63408053,76481394,69524592
56559513,56802311,56870095,58116310,57392120,57629386,58669563,68917470,83716279
56244032,56919997,57508272,59751492,57697086,57773262,59293626,61370738,70653301
56611244,56461653,57183247,60122638,57282422,57596932,59281849,70571626,80761608
56309087,56461739,57770252,59753823,57134155,57698345,59290071,68100715,70709932
56679302,56372359,57738300,59806320,57605883,57686235,60268778,60278581,85900017
56274058,57342780,57841582,68972926,57366709,57573981,61510610,69334003,71318338
56315369,56796273,57814525,66733580,56975049,57618250,61026682,69956917,84664944
56396084,56564926,57213494,59382976,57365862,57608338,61985840,63237110,68633335
56610588,56513471,57054173,59735701,57188430,57414678,61976370,119571185,84700610
