FP32 eager b16,FP32 eager b32,FP32 eager b64,FP32 eager b128,FP32 eager b256,FP32 eager b512,FP32 eager b1024,FP32 eager b2048,FP32 eager b4096,FP32 eager b8192,FP32 eager b16384,FP32 eager b32768,FP32 eager b65536,FP32 eager b131072,FP32 eager b262144,FP32 eager b524288,FP32 eager b1048576
291749,291338,304643,426016,603230,998080,5305885,9560878,16310376,25651379,45541885,413897115,169957747,334873147,2764561869,1327566935,2644933532
281145,315694,297029,409475,567644,992072,3932434,9387571,17506363,28057372,47072736,411832759,171137210,336879382,2733584367,1344616914,2648378994
281068,301815,310811,417452,599215,1049920,3615632,9173995,16301340,28275213,45792457,405819563,169971278,333867602,2749737035,1321747758,2642376240
277255,299721,302955,403672,527174,1048236,5495340,9128161,16839295,27623073,47150331,413051482,169913278,339712857,2786989311,1355153503,2650877790
292450,306812,311153,440982,610751,960086,4136030,9052574,16177578,25419787,45655031,411968643,170295887,333991630,2859154766,1327485260,2636696144
270761,310828,299722,435516,525178,1034015,5582141,8709245,16344662,33124458,47089843,409493400,170133033,336621057,2847042971,1430966369,2648306559
276718,277219,302839,471613,590827,1059102,5282476,8446722,16382979,31166695,50298755,412751436,170829388,336955081,2771109664,1383026560,2642330580
278404,317512,315803,454988,531014,960268,4798086,8584756,16972887,32291291,47201114,407438702,170263825,336056751,2850645760,1577171369,2645951953
301363,296010,405597,449941,598644,988614,4034342,8842813,16227781,31290332,45406450,409699265,170113301,336656255,2780455892,1567977262,2638703687
268165,313441,323764,636628,516070,1185598,5597486,8390932,17107172,32052155,47082013,412923862,170367213,336842389,2819908742,1378080327,2648122773
278977,293749,313489,457964,572347,1156856,3992950,8549251,16364570,30654341,45373613,413646730,170282837,334315676,2774202418,1488538805,2643794184
268692,283268,316247,477614,515916,911204,5458968,8778430,17162441,32285618,47413287,411954553,170021724,335878583,2815086107,1513963302,2649679484
279982,319356,320033,444787,579385,1027256,5311599,8919542,16509951,30407152,45424804,412145464,170798416,334820771,2806533763,1522849322,2646515400
296201,289515,307227,415068,497303,1076109,3612185,10596545,17613334,32322315,47458090,415907971,170346387,335298704,2764212842,1660742085,2644607027
281170,288786,307846,429625,574322,998599,5322091,10624240,16777724,27774734,45442484,410185140,170477196,335342819,2678959027,1674911790,2640315238
265721,320332,311548,422804,514706,1096006,3919865,10330049,17635265,29628983,46934369,410987209,169920054,335569886,2753487507,1659134283,2648081569
276413,298664,305021,419331,577048,1127406,5252854,10796211,16730637,27853505,45597473,410496212,170724051,336820218,2566604063,1795834018,2638332118
280387,313488,322410,419861,492212,1149901,3909263,10179139,17685103,29629982,47274654,408766351,175398144,337581057,2625491852,1771233944,2869668650
275012,294713,300174,421092,566281,984147,3536494,10189879,16718297,27768655,45701162,409840174,174301356,340972966,2570250702,1909628525,2977051956
281573,314342,296707,417791,491416,975765,5451486,9798374,17573146,29877301,47188899,404911353,171423174,382035669,2566390712,1899291091,2798022285
263001,307864,289924,413435,564111,868439,4018219,9800338,16797756,27862175,45614981,411614968,184567020,334381269,3055309799,1888007745,2634624872
