SHIR FPGA b16,SHIR FPGA b32,SHIR FPGA b64,SHIR FPGA b128,SHIR FPGA b256,SHIR FPGA b512,SHIR FPGA b1024,SHIR FPGA b2048,SHIR FPGA b4096,SHIR FPGA b8192
707438,1229361,2150793,4136396,8090149,15858891,31412920,67146420,131349130,258659032
703652,1227309,2198240,4107276,8049511,15680551,31222074,66508788,127654419,258857143
709437,1210225,2164741,4126250,8034169,15707132,31879425,65894548,131646332,258853521
708190,1227439,2147934,4117988,8077380,17217362,31544507,66460759,127836730,259255003
700953,1231150,2160375,4099224,8110645,16486383,32509920,64168562,131666655,258796929
710450,1220796,2163962,4091677,8684436,15907255,31613163,67039325,128475244,251556858
708434,1237459,2160886,4107442,8308826,17182178,31658953,66489453,131816961,260375004
699458,1231804,2156486,4219376,8218798,16502892,31666992,65669537,128621474,258901359
693789,1211095,2155570,4201326,8149388,15939758,31453655,66326966,131731599,251691822
706748,1229840,2149181,4171536,8097243,17044712,31978767,64447674,128641005,261188725
701340,1330563,2168976,4234937,8061421,16606367,31554556,67177792,131692425,258720732
701709,1366789,2148636,4148554,8073471,15896046,33937376,66442908,128658096,251393192
