SHIR FPGA b16,SHIR FPGA b64,SHIR FPGA b128,SHIR FPGA b256,SHIR FPGA b512,SHIR FPGA b1024,SHIR FPGA b2048,SHIR FPGA b4096,SHIR FPGA b8192,SHIR FPGA b16384,SHIR FPGA b32768,SHIR FPGA b65536,SHIR FPGA b131072,SHIR FPGA b262144
368330,481987,686031,1050678,2648868,3549068,10935377,16747301,28603568,74265288,138803676,279577015,568511733,1137008734
390052,551778,643120,1034855,2145344,4321839,11605172,19968694,37829607,74377596,140950763,280847873,558773222,1134296693
348766,510075,667305,1069545,2129274,3791402,10726356,16450383,35214287,73699343,138641157,281149793,571961015,1131133439
354442,496715,680130,992329,2111807,3422867,11000933,19744230,29298946,74280000,139323115,280853765,567298609,1131955265
376065,488566,643563,1049982,3701091,3782827,10942068,16673528,37159867,73846230,139379710,280528579,569193365,1126405637
370406,508783,654565,1066894,2798285,5934074,11852005,20060537,35678301,74315454,140369031,279475158,568298921,1142528642
373735,485533,672531,1024385,2160283,3787218,8993506,16806752,28644844,74234970,140614715,279267352,565995889,1142127341
362721,522721,668187,1057380,3191957,3556079,11511280,20060832,37677064,74924314,140578476,278923590,566535588,1137778647
351751,477732,656158,1058829,2706086,4149311,11710757,16684969,35472432,76524490,139628095,278440581,565744313,1131789299
367446,485972,675655,1074610,2218523,4315593,8992895,19715592,36217370,78034391,141484870,281642887,569012757,1133398448
