x86 inductor 16,x86 inductor 32,x86 inductor 64,x86 inductor 128,x86 inductor 256,x86 inductor 512,x86 inductor 1024,x86 inductor 2048,x86 inductor 4096,x86 inductor 8192,x86 inductor 16384,x86 inductor 32768,x86 inductor 65536,x86 inductor 131072,x86 inductor 262144,x86 inductor 524288
379711,429979,538502,380035,371802,623745,1746120,3023955,5780671,10809063,19820307,38348903,70233903,122411245,208627275,424140964
352600,439333,503414,340368,363487,593442,1001975,2722966,7833121,10851449,19530303,39946151,68646985,120722169,217513075,412032592
370284,433610,550540,355504,398411,671846,2437993,2642691,7235334,10793353,19976653,38275379,69390093,119979328,212963109,412304372
367307,439059,488874,340193,349906,598774,1752001,3951763,5776287,10802964,19579439,39995760,68471669,120847093,212030081,418986016
351409,425829,545196,359714,362216,619646,1043533,1880141,7437415,11030400,20003061,38416449,69540417,121030397,213824641,430260098
368638,445421,498668,369166,360443,646368,2428215,4177126,7256616,10839027,19685105,39702727,68127350,120524664,212846065,423411523
376874,412259,525161,342311,378037,569015,1636060,2514341,4882893,10884896,19718737,38656235,79361306,121337803,218010289,431740549
376279,437455,514874,347324,351575,529224,965105,3863955,6829986,10779441,19631708,39812612,80711783,120695493,213840348,417883905
361210,365475,558051,369607,391430,540355,2310851,2587838,5501956,10866745,19787824,38522020,68633303,120549783,212490127,420846866
373927,401256,509631,365434,343576,544131,1670070,2428518,5289589,10742070,19628594,39635342,131373633,120729882,216237103,409692453
302547,391770,547008,323410,357299,508180,965266,2389329,6398234,10797393,19599079,38428712,69333811,120114558,217124999,433979069
284603,386768,493963,316245,363276,510142,2348350,3771040,5438014,10845620,19645094,39589369,118324394,120471996,214754539,429905129
273630,381726,533178,331005,351827,504378,1627293,1777599,7404178,10837993,19660912,38671068,68455891,119944811,215421771,414844377
266514,375445,481273,374583,345921,506606,977085,3880498,7177725,10876200,20385719,37913829,118386934,120621928,213870922,387685758
271334,397888,558334,328596,344345,498034,2310268,2454818,4868663,10755189,21817676,38803419,69309565,120420178,215054669,429775842
824858,394888,502193,315430,368948,492795,1663702,3862963,6754240,10755800,19462296,39853179,67718319,121124343,212489983,431143846
329263,365349,563954,322373,358316,519708,957904,2546120,5503189,10879473,19711105,38699878,67883288,120559838,213865948,427231904
309787,391590,494622,321820,374099,516977,2276698,2407786,10615929,10884125,19408741,39808126,116326026,123382276,215166299,424855461
280736,368626,557137,322882,359199,497728,1711023,2399544,6842031,10816840,19607147,38884091,66472664,122852817,216246231,418193594
274437,390377,496596,316473,378291,510682,903228,3791413,5732412,10923020,19702513,39788428,119070861,122668000,215896514,420698519
287378,378602,557493,347058,373743,500563,2230811,1773058,6892339,10699714,19793183,38774573,66767092,123018803,215964782,419207489
265183,398384,496090,321319,376671,498927,1698152,4015550,7115290,10764904,19510875,39665909,118689782,122992083,203235658,426930457
282923,384446,509118,331869,356973,507617,953485,2383222,4951876,10781294,19687879,39116151,66985332,122254307,214714684,431336408
268565,375509,443919,326427,357668,503784,2279979,3868889,7098661,10896136,19580136,39604488,66644160,121809989,212057444,431395208
281462,369717,493160,332214,349310,490229,1712705,2634030,5644754,10740311,19876711,38850786,118011556,122042440,214504627,428112282
271699,398949,441295,323907,348914,491749,1007397,2622378,4551618,10786794,19610727,39515719,66787328,122066159,203700398,422551925
282104,377235,500945,337007,366150,580716,2449207,3237124,6575170,10837401,19614776,38926075,118202187,121942769,210158651,410154070
273930,398213,441936,325875,364089,496788,1707602,4403788,4795503,10895043,19463933,39714182,67218087,122859401,208219781,410923351
274739,378131,496880,309472,366312,493960,970149,2226189,7115537,10929280,19859638,38728469,68082917,122367338,213487797,431667501
264491,391182,421782,327316,349419,513093,2459611,4315154,5672767,10846823,19854576,39520940,66645312,122493693,213815905,417233262
268629,374734,492724,320716,351910,488701,1675462,2681307,4393491,10816035,19714535,38708887,118712785,122175606,205904492,424366980
269160,386384,441653,343082,358347,490792,936093,4041367,6308951,10907181,19597599,39693044,69878268,122589789,214107985,418972215
275343,375466,497513,328636,354509,538070,2405889,2789674,4553611,10856665,19748399,38776027,68179111,124689422,213698436,428824616
295701,391629,428813,331650,355875,500601,1657361,2509426,7323424,10792290,19495365,39761347,98506555,124185457,214674146,419673052
